,symbol,price,price_change,price_percent_change
0,PLTR,103.83 +20.09 (+23.99%),20.09,+23.99%
1,SPOT,621.77 +72.69 (+13.24%),72.69,+13.24%
2,GRAB,5.11 +0.57 (+12.56%),0.57,+12.56%
3,IFNNY,35.70 +3.72 (+11.63%),3.72,+11.63%
4,SOUN,15.71 +1.47 (+10.32%),1.47,+10.32%
5,MP,24.47 +2.24 (+10.08%),2.24,+10.08%
6,ATI,63.72 +5.76 (+9.94%),5.76,+9.94%
7,FQVLF,13.29 +1.17 (+9.65%),1.17,+9.65%
8,PBF,30.35 +2.63 (+9.49%),2.63,+9.49%
9,CLS,131.98 +11.10 (+9.18%),11.1,+9.18%
10,DASTY,42.00 +3.52 (+9.15%),3.52,+9.15%
11,SMCI,29.16 +2.31 (+8.60%),2.31,+8.60%
12,LANC,180.96 +14.46 (+8.68%),14.46,+8.68%
13,PDD,114.05 +8.81 (+8.37%),8.81,+8.37%
14,XPEV,16.99 +1.30 (+8.29%),1.3,+8.29%
15,AXTA,38.01 +2.90 (+8.26%),2.9,+8.26%
16,GBOOF,7.23 +0.55 (+8.23%),0.55,+8.23%
17,AI,33.77 +2.56 (+8.20%),2.56,+8.20%
18,CLF,10.52 +0.78 (+8.01%),0.78,+8.01%
19,GENI,9.48 +0.68 (+7.73%),0.68,+7.73%
20,AVAV,186.12 +13.14 (+7.60%),13.14,+7.60%
21,ASTS,23.09 +1.62 (+7.55%),1.62,+7.55%
22,PAGS,7.84 +0.55 (+7.54%),0.55,+7.54%
23,FRO,18.87 +1.32 (+7.52%),1.32,+7.52%
24,HIMS,41.85 +2.92 (+7.50%),2.92,+7.50%
25,CRVL,124.63 +8.66 (+7.47%),8.66,+7.47%
26,SWTX,38.40 +2.58 (+7.20%),2.58,+7.20%
27,RACE,459.30 +30.36 (+7.08%),30.36,+7.08%
28,SUPN,40.00 +2.64 (+7.07%),2.64,+7.07%
29,VIPS,14.84 +0.95 (+6.84%),0.95,+6.84%
30,FNMAS,11.76 +0.75 (+6.81%),0.75,+6.81%
31,RMBS,64.44 +4.09 (+6.78%),4.09,+6.78%
32,MPC,156.91 +9.91 (+6.74%),9.91,+6.74%
33,DINO,37.96 +2.39 (+6.72%),2.39,+6.72%
34,PCRHY,10.56 +0.66 (+6.67%),0.66,+6.67%
35,RDDT,215.31 +13.00 (+6.43%),13.0,+6.43%
36,BBIO,32.98 +1.95 (+6.28%),1.95,+6.28%
37,SANM,87.38 +5.15 (+6.27%),5.15,+6.27%
38,AA,36.24 +2.13 (+6.24%),2.13,+6.24%
39,FUTU,98.72 +5.78 (+6.22%),5.78,+6.22%
40,CRDO,76.25 +4.44 (+6.18%),4.44,+6.18%
41,CVE,14.98 +0.87 (+6.17%),0.87,+6.17%
42,CCJ,50.32 +2.87 (+6.05%),2.87,+6.05%
43,FNMAT,10.70 +0.61 (+6.05%),0.61,+6.05%
44,FNMA,5.47 +0.31 (+6.01%),0.31,+6.01%
45,FMCKJ,11.30 +0.64 (+6.00%),0.64,+6.00%
46,LI,24.25 +1.37 (+5.99%),1.37,+5.99%
47,DUOL,386.16 +21.72 (+5.96%),21.72,+5.96%
48,BIDU,92.88 +5.17 (+5.89%),5.17,+5.89%
49,ASH,64.44 +3.55 (+5.83%),3.55,+5.83%
50,STNE,9.39 +0.50 (+5.62%),0.5,+5.62%
51,BILI,17.66 +0.94 (+5.62%),0.94,+5.62%
52,QXO,14.19 +0.75 (+5.58%),0.75,+5.58%
53,NXE,6.68 +0.35 (+5.53%),0.35,+5.53%
54,BERY,70.50 +3.67 (+5.49%),3.67,+5.49%
55,FIVN,42.67 +2.17 (+5.37%),2.17,+5.37%
56,HBM,8.65 +0.44 (+5.36%),0.44,+5.36%
57,BEKE,17.38 +0.88 (+5.33%),0.88,+5.33%
58,LKNCY,29.64 +1.49 (+5.29%),1.49,+5.29%
59,DNLI,22.99 +1.15 (+5.27%),1.15,+5.27%
60,XYL,129.24 +6.44 (+5.24%),6.44,+5.24%
61,FOXA,54.64 +2.69 (+5.18%),2.69,+5.18%
62,KD,39.92 +1.96 (+5.16%),1.96,+5.16%
63,AMCR,10.05 +0.49 (+5.13%),0.49,+5.13%
64,AXSM,112.92 +5.49 (+5.11%),5.49,+5.11%
65,PJT,173.77 +8.44 (+5.10%),8.44,+5.10%
66,CMBT,11.35 +0.55 (+5.09%),0.55,+5.09%
67,TDW,54.93 +2.66 (+5.09%),2.66,+5.09%
68,VRN,5.17 +0.25 (+5.08%),0.25,+5.08%
69,MRAAY,8.10 +0.39 (+5.06%),0.39,+5.06%
70,LION,7.27 +0.35 (+5.06%),0.35,+5.06%
71,INSW,40.93 +1.96 (+5.03%),1.96,+5.03%
72,ARWR,19.68 +0.94 (+5.02%),0.94,+5.02%
73,NEU,508.97 +24.28 (+5.01%),24.28,+5.01%
74,CVLT,167.28 +7.97 (+5.00%),7.97,+5.00%
75,VLO,142.99 +6.81 (+5.00%),6.81,+5.00%
76,RXRX,7.61 +0.36 (+4.97%),0.36,+4.97%
77,BNPQY,34.75 +1.63 (+4.92%),1.63,+4.92%
78,TMDX,72.14 +3.38 (+4.92%),3.38,+4.92%
79,RUM,12.81 +0.60 (+4.91%),0.6,+4.91%
80,PSX,123.61 +5.75 (+4.88%),5.75,+4.88%
81,SITM,214.61 +9.95 (+4.86%),9.95,+4.86%
82,MPNGY,38.86 +1.79 (+4.83%),1.79,+4.83%
83,FOX,51.55 +2.36 (+4.80%),2.36,+4.80%
84,AKRO,56.41 +2.56 (+4.75%),2.56,+4.75%
85,ORLA,6.50 +0.29 (+4.67%),0.29,+4.67%
86,SOBO,24.80 +1.10 (+4.64%),1.1,+4.64%
87,TECK,41.95 +1.86 (+4.64%),1.86,+4.64%
88,TRMD,20.98 +0.93 (+4.64%),0.93,+4.64%
89,AMD,119.50 +5.23 (+4.58%),5.23,+4.58%
90,PII,45.72 +2.02 (+4.62%),2.02,+4.62%
91,UI,421.00 +18.56 (+4.61%),18.56,+4.61%
92,EWTX,29.50 +1.30 (+4.61%),1.3,+4.61%
93,AMKBY,7.51 +0.33 (+4.60%),0.33,+4.60%
94,ACLX,67.72 +2.96 (+4.57%),2.96,+4.57%
95,LSPD,14.46 +0.63 (+4.56%),0.63,+4.56%
96,TGTX,32.91 +1.43 (+4.54%),1.43,+4.54%
97,RBRK,74.08 +3.21 (+4.53%),3.21,+4.53%
98,REGN,697.05 +30.20 (+4.53%),30.2,+4.53%
99,STNG,50.11 +2.16 (+4.50%),2.16,+4.50%
100,HP,32.59 +1.39 (+4.46%),1.39,+4.46%
101,VNET,7.54 +0.32 (+4.43%),0.32,+4.43%
102,RBLX,73.79 +3.11 (+4.40%),3.11,+4.40%
103,CMI,363.51 +15.30 (+4.39%),15.3,+4.39%
104,ARCB,95.40 +4.00 (+4.38%),4.0,+4.38%
105,MPWR,656.29 +27.51 (+4.38%),27.51,+4.38%
106,SMTC,66.22 +2.76 (+4.35%),2.76,+4.35%
107,RNA,33.34 +1.38 (+4.32%),1.38,+4.32%
108,APA,22.39 +0.92 (+4.29%),0.92,+4.29%
109,ALGM,23.94 +0.98 (+4.27%),0.98,+4.27%
110,IAC,43.29 +1.77 (+4.26%),1.77,+4.26%
111,VAL,48.22 +1.97 (+4.26%),1.97,+4.26%
112,MOS,28.21 +1.15 (+4.25%),1.15,+4.25%
113,BHVN,39.31 +1.60 (+4.24%),1.6,+4.24%
114,INTA,73.51 +2.99 (+4.24%),2.99,+4.24%
115,MNSO,23.95 +0.97 (+4.22%),0.97,+4.22%
116,ARM,162.20 +6.55 (+4.21%),6.55,+4.21%
117,SHOP,119.20 +4.81 (+4.20%),4.81,+4.20%
118,OVV,43.71 +1.76 (+4.20%),1.76,+4.20%
119,PTEN,8.21 +0.33 (+4.19%),0.33,+4.19%
120,HAE,68.92 +2.77 (+4.19%),2.77,+4.19%
121,VERA,38.07 +1.53 (+4.19%),1.53,+4.19%
122,VICR,49.16 +1.97 (+4.17%),1.97,+4.17%
123,ABCB,66.90 +2.67 (+4.16%),2.67,+4.16%
124,CRNX,40.40 +1.61 (+4.15%),1.61,+4.15%
125,STLA,13.14 +0.52 (+4.12%),0.52,+4.12%
126,PROSY,7.84 +0.31 (+4.12%),0.31,+4.12%
127,OS,29.76 +1.18 (+4.11%),1.18,+4.11%
128,EQNR,24.78 +0.97 (+4.07%),0.97,+4.07%
129,NICE,169.44 +6.63 (+4.07%),6.63,+4.07%
130,BTU,18.21 +0.71 (+4.06%),0.71,+4.06%
131,APP,380.26 +14.82 (+4.06%),14.82,+4.06%
132,INSM,81.01 +3.13 (+4.02%),3.13,+4.02%
133,SPGYF,6.82 +0.26 (+3.96%),0.26,+3.96%
134,HAFN,5.55 +0.21 (+3.93%),0.21,+3.93%
135,CBT,88.19 +3.32 (+3.91%),3.32,+3.91%
136,FMCC,5.05 +0.19 (+3.91%),0.19,+3.91%
137,FCFS,112.59 +4.21 (+3.88%),4.21,+3.88%
138,DAL,69.06 +2.58 (+3.88%),2.58,+3.88%
139,RIVN,12.87 +0.48 (+3.87%),0.48,+3.87%
140,YMM,11.55 +0.43 (+3.87%),0.43,+3.87%
141,SNAP,11.60 +0.43 (+3.85%),0.43,+3.85%
142,SFM,165.85 +6.10 (+3.82%),6.1,+3.82%
143,TCEHY,54.43 +2.00 (+3.81%),2.0,+3.81%
144,OR,19.40 +0.71 (+3.80%),0.71,+3.80%
145,BABA,102.35 +3.74 (+3.79%),3.74,+3.79%
146,CE,71.37 +2.60 (+3.78%),2.6,+3.78%
147,CC,18.72 +0.68 (+3.77%),0.68,+3.77%
148,DLTR,74.31 +2.68 (+3.74%),2.68,+3.74%
149,ZGN,9.17 +0.33 (+3.73%),0.33,+3.73%
150,X,37.80 +1.36 (+3.73%),1.36,+3.73%
151,SYM,30.30 +1.09 (+3.73%),1.09,+3.73%
152,NTR,52.86 +1.90 (+3.73%),1.9,+3.73%
153,ESBA,9.46 +0.34 (+3.73%),0.34,+3.73%
154,ADYEY,16.48 +0.59 (+3.71%),0.59,+3.71%
155,SCCO,93.26 +3.33 (+3.70%),3.33,+3.70%
156,ALAB,101.73 +3.61 (+3.68%),3.61,+3.68%
157,TCBI,80.06 +2.83 (+3.66%),2.83,+3.66%
158,UAL,108.67 +3.84 (+3.66%),3.84,+3.66%
159,UBER,69.75 +2.46 (+3.66%),2.46,+3.66%
160,PPBI,26.15 +0.92 (+3.65%),0.92,+3.65%
161,ENPH,66.25 +2.34 (+3.66%),2.34,+3.66%
162,SAN,5.13 +0.18 (+3.64%),0.18,+3.64%
163,CAVA,142.27 +4.95 (+3.60%),4.95,+3.60%
164,MUR,26.47 +0.92 (+3.60%),0.92,+3.60%
165,BZ,15.25 +0.53 (+3.60%),0.53,+3.60%
166,SNOW,189.11 +6.57 (+3.60%),6.57,+3.60%
167,ASAN,21.93 +0.76 (+3.59%),0.76,+3.59%
168,NBIS,34.50 +1.19 (+3.57%),1.19,+3.57%
169,SLM,29.01 +1.00 (+3.57%),1.0,+3.57%
170,PENN,20.90 +0.72 (+3.57%),0.72,+3.57%
171,KTOS,34.38 +1.18 (+3.55%),1.18,+3.55%
172,SHAK,119.25 +4.08 (+3.54%),4.08,+3.54%
173,BYDDY,73.30 +2.50 (+3.53%),2.5,+3.53%
174,ESTC,115.45 +3.93 (+3.52%),3.93,+3.52%
175,XIACY,25.66 +0.87 (+3.51%),0.87,+3.51%
176,FLEX,41.92 +1.42 (+3.51%),1.42,+3.51%
177,LUMN,5.04 +0.17 (+3.49%),0.17,+3.49%
178,CBU,66.64 +2.24 (+3.48%),2.24,+3.48%
179,PBA,36.35 +1.22 (+3.47%),1.22,+3.47%
180,HRI,204.07 +6.83 (+3.46%),6.83,+3.46%
181,ACI,20.25 +0.67 (+3.42%),0.67,+3.42%
182,PFS,18.85 +0.62 (+3.40%),0.62,+3.40%
183,BEP,21.65 +0.71 (+3.39%),0.71,+3.39%
184,FFIN,38.19 +1.25 (+3.38%),1.25,+3.38%
185,PI,126.55 +4.14 (+3.38%),4.14,+3.38%
186,BANF,120.48 +3.94 (+3.38%),3.94,+3.38%
187,STM,22.37 +0.73 (+3.37%),0.73,+3.37%
188,WK,100.55 +3.26 (+3.35%),3.26,+3.35%
189,UEC,7.10 +0.23 (+3.35%),0.23,+3.35%
190,MIRM,50.21 +1.62 (+3.33%),1.62,+3.33%
191,UFPT,279.74 +8.91 (+3.29%),8.91,+3.29%
192,GRP-UN,47.11 +1.49 (+3.27%),1.49,+3.27%
193,UNF,222.34 +7.03 (+3.27%),7.03,+3.27%
194,HTH,31.01 +0.98 (+3.26%),0.98,+3.26%
195,RSI,14.91 +0.47 (+3.25%),0.47,+3.25%
196,HAL,26.34 +0.83 (+3.25%),0.83,+3.25%
197,CNQ,30.99 +0.97 (+3.23%),0.97,+3.23%
198,FTI,31.12 +0.97 (+3.22%),0.97,+3.22%
199,NE,32.45 +1.01 (+3.21%),1.01,+3.21%
